tweet_id,message,historical_response,intent,expected_action,expected_reason,human_groundedness,human_correctness,human_relevance,human_helpfulness,human_tone
299576,"@AmazonHelp Mais c'est la 4iéme fois qu'on me dit que dans 5 jours j'aurai une réponse, ca fait 2 mois, pouvez-vous me donner un moyen d'escaler ça ?",@187415 Je vous assure que mon collègue qui a pris en charge votre dossier a déjà escaladé le cas ! Merci pour votre patience. ^RA,other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,2,2,3,2,4
71049,@AmazonHelp 最近ポチりたい商品・・・うーん色々ありすぎてほしい物リストには登録してありますが、今一番ですとAnkerのBluetoothイヤホンですかね〜それとFire HD 10ですかね₍₍ (ง ˙ω˙)ว ⁾⁾,@131959 お知らせいただきありがとうございます！ほしいものリストも活用いただけているようで嬉しいです✨ シエル様の御眼鏡に適うか分かりませんが、Amazonから感謝の気持ちを込めてプレゼントをお贈りさせて頂けませんか？よろしければこちらのURLよりご連絡下さい😊 https://t.co/OAo74ew7YY EK,other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,3,3,3,3,4
18960,@AmazonHelp I want a proper resolution here...,@120228 Please reply to the email correspondence for a better insight. (2/2) ^SI,other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,4,4,4,4,5
334094,3/ Worst case: @115821 sold my husband a new iPad Pro that turned out to be a demo model. Every time I then have to correct their mistake.,"@169608 I'm sorry to hear this! Have you discussed the issue with us over the phone? If so, what options/info did we provide? ^BH",other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,3,3,4,3,4
149318,"Outre que je me si la pratique est licite, le choix est vite fait,j'achèterai ailleurs que sur @120533 #Consommation #droit #france https://t.co/cBxUqBRoYH","@150017 Je vous remercie vivement de nous avoir fait part de votre commentaire concernant les articles réservés exclusivement aux membres du programme Amazon Prime. Par ailleurs, il se peut que l'article qui vous intéresse soit disponible auprès d'un vendeur tiers. ^AR",other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,2,2,3,2,4
137125,@AmazonHelp The ‘buy tickets’ button doesn’t work on mobile or desktop and I think the date is incorrect too https://t.co/fYbEUuL5fS,@146922 Please reach out to us directly here: https://t.co/JzP7hlA23B and we can look into this further.^PK,technical_issue,ESCALATE,Technical issues may require access to account or system context unavailable to the automated agent.,3,3,4,3,4
130747,1/ @115850 Are you guys leaking email ids of user who applied for Amazon BTS offer?My bro got this spam email: http://t.co/6YtfYm0aLN,@145514 Our customers' security is our utmost important concern &amp; we take all necessary steps to safe guard their info. I assure you. ^AN,account_or_login,AUTO,Clear account or login intent with sufficient historical evidence available for an automated reply.,4,4,4,4,5
83482,@AmazonHelp This is what it says! It doesn't make sense because it says it will be delivered the next day but the same day it was 'delivered' https://t.co/DBjgUldaos,@134342 Have you had a chance to look around to see if your order was delivered to a safe-place or to a neighbour on your behalf?^PJ,other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,4,4,4,4,5
324181,@115821 @AmazonHelp another seller dont have offer in this price.directly 15600.i m tryin this from 4th oct only.,"@193225 to offer you the lowest price, may result in fluctuations in our prices over time. [2/2]^SK",other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,3,3,3,3,4
65846,"@AmazonHelp Nope, I made the order then found out the address was wrong so I cancelled it in less than 5 minuets! I received a bank notification the money was deducted!  Still haven’t got back!",@131060 Was the order confirmed as dispatched before you canceled the order? Which site did you place your order https://t.co/PQPnSFSCPS or? ^NV,payment_or_refund,AUTO,Clear payment or refund intent with sufficient historical evidence available for an automated reply.,4,4,4,4,5
315306,"@AmazonHelp None, we just found it in our tracking on the app. Potentially a mistake and it is coming today?",@191268 What does the tracking advise? ^NV,delivery_or_order,AUTO,Clear delivery or order intent with sufficient historical evidence available for an automated reply.,4,4,4,4,5
334036,@195595 @117795 Is it free to #amazonprime accounts?,@195594 Yes it is on Prime Video.  ^AF,other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,5,5,5,5,5
388004,@AmazonHelp How much time it gonna take more? If it wasn't the thing you wanted to include then why did you ad the thing on app?,"@192640 Sorry for the disappointment. We've escalated the issue to the concerned team. We'll reach out, once we have an update. ^KA",technical_issue,ESCALATE,Technical issues may require access to account or system context unavailable to the automated agent.,4,4,4,4,4
272466,"@AmazonHelp Unfortunate to see such a service &amp; such cold response from Amazon, i was a very loyal customer before this! This has changed my perception!","@181033 I realize this is a gift order for a special occasion, and I'm so sorry for the delay. We'd like to help you 1/2^EM",other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,4,4,4,4,5
