tweet_id,message,true_intent,predicted_intent,intent_match,true_action,predicted_action,action_match,confidence,triggered,reply,n_evidence
299576,"@AmazonHelp Mais c'est la 4iéme fois qu'on me dit que dans 5 jours j'aurai une réponse, ca fait 2 mois, pouvez-vous me donner un moyen d'escaler ça ?",other_or_unclear,other_or_unclear,1,ESCALATE,ESCALATE,1,0.0,,@187415 Je vous assure que mon collègue qui a pris en charge votre dossier a déjà escaladé le cas ! Merci pour votre patience. ^RA,3
71049,@AmazonHelp 最近ポチりたい商品・・・うーん色々ありすぎてほしい物リストには登録してありますが、今一番ですとAnkerのBluetoothイヤホンですかね〜それとFire HD 10ですかね₍₍ (ง ˙ω˙)ว ⁾⁾,other_or_unclear,other_or_unclear,1,ESCALATE,ESCALATE,1,0.0,,@131959 お知らせいただきありがとうございます！ほしいものリストも活用いただけているようで嬉しいです✨ シエル様の御眼鏡に適うか分かりませんが、Amazonから感謝の気持ちを込めてプレゼントをお贈りさせて頂けませんか？よろしければこちらのURLよりご連絡下さい😊 https://t.co/OAo74ew7YY EK,3
18960,@AmazonHelp I want a proper resolution here...,other_or_unclear,other_or_unclear,1,ESCALATE,ESCALATE,1,0.0,,@120228 Please reply to the email correspondence for a better insight. (2/2) ^SI,3
334094,3/ Worst case: @115821 sold my husband a new iPad Pro that turned out to be a demo model. Every time I then have to correct their mistake.,other_or_unclear,other_or_unclear,1,ESCALATE,ESCALATE,1,0.0,,"@169608 I'm sorry to hear this! Have you discussed the issue with us over the phone? If so, what options/info did we provide? ^BH",3
149318,"Outre que je me si la pratique est licite, le choix est vite fait,j'achèterai ailleurs que sur @120533 #Consommation #droit #france https://t.co/cBxUqBRoYH",other_or_unclear,other_or_unclear,1,ESCALATE,ESCALATE,1,0.0,,"@150017 Je vous remercie vivement de nous avoir fait part de votre commentaire concernant les articles réservés exclusivement aux membres du programme Amazon Prime. Par ailleurs, il se peut que l'article qui vous intéresse soit disponible auprès d'un vendeur tiers. ^AR",3
137125,@AmazonHelp The ‘buy tickets’ button doesn’t work on mobile or desktop and I think the date is incorrect too https://t.co/fYbEUuL5fS,technical_issue,technical_issue,1,ESCALATE,ESCALATE,1,1.0,button,@146922 Please reach out to us directly here: https://t.co/JzP7hlA23B and we can look into this further.^PK,3
130747,1/ @115850 Are you guys leaking email ids of user who applied for Amazon BTS offer?My bro got this spam email: http://t.co/6YtfYm0aLN,account_or_login,account_or_login,1,AUTO,AUTO,1,1.0,email,@145514 Our customers' security is our utmost important concern &amp; we take all necessary steps to safe guard their info. I assure you. ^AN,3
83482,@AmazonHelp This is what it says! It doesn't make sense because it says it will be delivered the next day but the same day it was 'delivered' https://t.co/DBjgUldaos,other_or_unclear,other_or_unclear,1,ESCALATE,ESCALATE,1,0.0,,@134342 Have you had a chance to look around to see if your order was delivered to a safe-place or to a neighbour on your behalf?^PJ,3
324181,@115821 @AmazonHelp another seller dont have offer in this price.directly 15600.i m tryin this from 4th oct only.,other_or_unclear,other_or_unclear,1,ESCALATE,ESCALATE,1,0.0,,"@193225 to offer you the lowest price, may result in fluctuations in our prices over time. [2/2]^SK",3
65846,"@AmazonHelp Nope, I made the order then found out the address was wrong so I cancelled it in less than 5 minuets! I received a bank notification the money was deducted!  Still haven’t got back!",payment_or_refund,delivery_or_order,0,AUTO,AUTO,1,0.5,order|received,@131060 Was the order confirmed as dispatched before you canceled the order? Which site did you place your order https://t.co/PQPnSFSCPS or? ^NV,3
315306,"@AmazonHelp None, we just found it in our tracking on the app. Potentially a mistake and it is coming today?",delivery_or_order,delivery_or_order,1,AUTO,AUTO,1,0.5,tracking,@191268 What does the tracking advise? ^NV,3
334036,@195595 @117795 Is it free to #amazonprime accounts?,other_or_unclear,other_or_unclear,1,ESCALATE,ESCALATE,1,0.0,,@195594 Yes it is on Prime Video.  ^AF,3
388004,@AmazonHelp How much time it gonna take more? If it wasn't the thing you wanted to include then why did you ad the thing on app?,technical_issue,technical_issue,1,ESCALATE,ESCALATE,1,1.0,app,"@192640 Sorry for the disappointment. We've escalated the issue to the concerned team. We'll reach out, once we have an update. ^KA",3
272466,"@AmazonHelp Unfortunate to see such a service &amp; such cold response from Amazon, i was a very loyal customer before this! This has changed my perception!",other_or_unclear,other_or_unclear,1,ESCALATE,ESCALATE,1,0.0,,@181033 Kindly reach out to our support team through the link provided earlier and we'll look into it right away. 2/2^EM,3
56940,"@AmazonHelp Standard delivery , by the way it comes out nov 3",delivery_or_order,delivery_or_order,1,AUTO,AUTO,1,1.0,delivery,"@128893 I'm sorry for the wait. While we strive to get your items to you on time, in rare cases, delays may occur. ^WT",3
282250,今日アマゾンから届くはずだったスーファミミニがシステムエラーが原因で強制キャンセルされてるって一方的にメールが来てるんだけど💢どういうこと？一方的にキャンセルって！！めっちゃ楽しみにしてたのに！！あり得ない！,other_or_unclear,other_or_unclear,1,ESCALATE,ESCALATE,1,0.0,,Thank you for reaching out to AmazonHelp. A support specialist will review your case and get back to you shortly.,0
225053,@AmazonHelp C'est fait.,other_or_unclear,other_or_unclear,1,ESCALATE,ESCALATE,1,0.0,,@138645 J'ai essayé de vous appeler mais sans succès. Pourriez-vous me communiquer une tranche horaire où vous serez disponible ? ^SM,3
21490,@115850 frnd ordered kindle wich was not delivered.He canceled order &amp; U agreed. Bt aftr a mnth U r denying to give refund. Disappointing,delivery_or_order,delivery_or_order,1,ESCALATE,ESCALATE,1,0.333,order,@120693 here: https://t.co/beaaDm0muc and I’ll contact you soon. 2/2 ^AH,3
21048,"@AmazonHelp I did call the customer service. But, they were unable to provide any update!",technical_issue,technical_issue,1,ESCALATE,ESCALATE,1,1.0,unable,@120613 I'd like to look into the issue and assist you with it. Please provide your details here: https://t.co/FOWMWAwwM3 1/2 ^SH,3
62402,"@AmazonHelp Na verdade, eu não consigo escolher uma, mas estou indo pelas editoras que são umas 5 diferentes...",other_or_unclear,other_or_unclear,1,ESCALATE,ESCALATE,1,0.0,,@130297 Massa! Que livro você está lendo neste momento?  ^JJ,3
128840,"Eff you Amazon.  I've waited all day for your 49"" tv to go on sale yet my business means nothing evidently. Most idiots can't check their phone every 10 mins to see if that is up next on their list. @115850",other_or_unclear,other_or_unclear,1,ESCALATE,ESCALATE,1,0.0,,"@144981 I understand your disappointment. Sales run based on availability of stocks. Once its completely claimed the next product would be up for sale. Hence, kindly stay tuned to the website for an update.  Appreciate your understanding.  ^EM",3
133774,@115850  https://t.co/ro8EDPqKhH,other_or_unclear,other_or_unclear,1,ESCALATE,ESCALATE,1,0.0,,"@146146 Please don't provide your order details, as we consider them to be personal information. Our page is visible to the public. ^GK",3
250651,"@AmazonHelp So bad service provided by amazon , i ordered a product yet not recd but when check delvery status its showing derlivered.. https://t.co/wCfYq9CvoM",delivery_or_order,delivery_or_order,1,AUTO,AUTO,1,0.5,status,"@171391 Please don’t provide your order details, we consider them to be personal info. Our Twitter page is visible to public. ^MP (2/2)",3
285110,"o @117086 não consegue entregar 3 livros em menso de 5 dias,  e o status do pedido não mudou desde o dia 29/09 tsc vergonhoso",other_or_unclear,delivery_or_order,0,ESCALATE,AUTO,0,1.0,status,"@183923 Olá, Jeff, sinto muito o inconveniente, na hora de finalizar o pedido, você recebeu e-mail de confirmação? ^AZ",3
19442,@AmazonHelp Ok thank u,other_or_unclear,other_or_unclear,1,ESCALATE,ESCALATE,1,0.0,,"@120317 You're welcome, Aleema. Do let us know if you need any further assistance. ^SY",3
277097,@AmazonHelp It's ok since u r not accepting deliberate delay let all see,delivery_or_order,delivery_or_order,1,AUTO,AUTO,1,1.0,delay,@182213 Please share your details in the link provided above and we'll have the issue checked for you. (2/2) ^KA,3
121091,@AmazonHelp @115821 @AmazonHelp @116316 unfortunately it's been now 2 weeks and the order still hasn't been dispatched. No updates from your support team. All I get is standard text book random replies. Is this the way to treat old clients?,delivery_or_order,delivery_or_order,1,AUTO,AUTO,1,1.0,dispatched|order,@142952 What was the last update you received? ^AN,3
323796,@AmazonHelp Where can I see ongoing Amazon Pay offers? @115850,delivery_or_order,delivery_or_order,1,AUTO,AUTO,1,0.5,where,"@193119 Hi Mike, here is the link: https://t.co/5mkJPHDoSH. ^HN",3
306175,@AmazonHelp “Expected 3rd October”,other_or_unclear,other_or_unclear,1,ESCALATE,ESCALATE,1,0.0,,@189098 We'd like to look into available options with you! Please get in touch with us by phone/chat here: https://t.co/JzP7hlA23B ^KJ,3
320084,How Amazon staff involved in Black marketing by selling Clients product even after 01 Delivery Attempt and saying lost @115821 @AmazonHelp https://t.co/eye45S2UlS,delivery_or_order,delivery_or_order,1,AUTO,AUTO,1,0.667,delivery|lost,@183289 Sorry for the trouble you've had. Kindly fill in your details here: https://t.co/GIJyeYqKE0 and I'll help you with it. ^MM,3
272691,Amazon詐欺きたー！ https://t.co/BHy3lNAktL,other_or_unclear,other_or_unclear,1,ESCALATE,ESCALATE,1,0.0,,@181102 (あの・・・ご存知かと思いますが・・・本当に詐欺ですのでご連絡なさらないでくださいね・・・)O o｡.(´-`*)　ET,3
224810,"@AmazonHelp ""Maximum cumulative""
This cleared my doubt. Thank you.",other_or_unclear,other_or_unclear,1,ESCALATE,ESCALATE,1,0.0,,@169709 I’m glad to know that! Happy Shopping! ^GU,3
129712,@AmazonHelp Chat support gave me an email address and phone option. That's not the point why have chat support if they are rude and untrained?,account_or_login,account_or_login,1,AUTO,AUTO,1,1.0,email,"@145244 I'm sorry about the poor experience with the Chat agent. Did you use the feedback option after the Chat to report this? Please contact us again via chat, phone or email:  https://t.co/hApLpMlfHN. ^MI",3
231775,@115850 This deal darken my life by engaging me 24hr on this but no improvement in the whole day. https://t.co/kNXHJZuEAh,other_or_unclear,other_or_unclear,1,ESCALATE,ESCALATE,1,0.0,,@171205 Sorry about that. We have exciting deals coming up. Stay tuned. ^NS,3
282170,@115850 pl confirm when pickup( 69956579711) will done bcz it's showing reschedule but didn't get any update last 3-4 days,other_or_unclear,other_or_unclear,1,ESCALATE,ESCALATE,1,0.0,,@183218 This being a Social platform we cannot access your account. Please reach our support team here: https://t.co/vlvfJr4nN9^RB 1/2,3
152019,"@115830 seriously? I bought a tiny pack of batteries the pack is literally 5mm thick, and you sent it in a huge box! This meant it couldn’t be put through my door, and my neighbours got woken up last night as I wasn’t in! Please use appropriate packaging for items!!!!! https://t.co/9sCMmSlfJl",other_or_unclear,other_or_unclear,1,ESCALATE,ESCALATE,1,0.0,,@150737 I'm sorry for the poor delivery experience! We're always looking for ways to improve our packaging! Please feel free to leave feedback here: https://t.co/5tACQmbW6S ^ME,3
356671,@AmazonHelp Well then you shoulf also read the earlier msgs where the same person has written about the same issue from the same id.@115821 @115850,delivery_or_order,delivery_or_order,1,AUTO,AUTO,1,0.5,where,@200693 I've checked and see that we haven't received your details yet. (1/2) ^AS,3
382639,"@171152 @115850 
The amazon agent number is switched off AmzAgent(9702128923).
Please help.",other_or_unclear,other_or_unclear,1,ESCALATE,ESCALATE,1,0.0,,@206708 Sorry to know about this. Kindly wait until the end of the day and I'm positive your order will be delivered. ^SH,3
9129,@AmazonHelp It looks as though someone has changed the email address linked to my acct &amp; I can no longer log in. Help!,account_or_login,account_or_login,1,AUTO,AUTO,1,1.0,email,"@117632 We're here to help! Please, reach us phone or e-mail so we can investigate: https://t.co/jzvkhdlrK5 ^EB",3
343789,"@AmazonHelp D'accord mais c'est un problème au niveau des livreurs, qui bâclent. Vous n'êtes pas fautifs mais vous répondez, vous! (coucou @132988)",other_or_unclear,other_or_unclear,1,ESCALATE,ESCALATE,1,0.0,,@197809 Sachez que notre service client se tient à votre disposition en cas de besoin. ^FA,3
354508,@AmazonHelp How do you propose to resolve the situation then ?,other_or_unclear,other_or_unclear,1,ESCALATE,ESCALATE,1,0.0,,@200264 Thank you for sharing your details. We're working on it and will get back to you soon. ^AP,3
96743,@AmazonHelp I received the wrong item. I have been told to send it back for a refund. But I am desperate for the item.,payment_or_refund,delivery_or_order,0,ESCALATE,ESCALATE,1,0.333,received,"@137113 I understand, Jennifer! Since we have offered a refund on return of the incorrect item, could you place a new order for the correct item? We want to be sure you receive the right thing! ^MT",3
319732,@AmazonHelp Thanks to unhelpful/incomplete information on missed delivery card from Amazon Logistics,delivery_or_order,delivery_or_order,1,ESCALATE,ESCALATE,1,0.5,delivery,@162009 Sorry to hear that! Has the order been lost in transit?^CD,3
225341,"What's the customer care number of Amazon Bhubaneswar
@115850",other_or_unclear,other_or_unclear,1,ESCALATE,ESCALATE,1,0.0,,@169832 Kindly get in touch with us here: https://t.co/oX9HICV5Mz and we’ll be glad to help you. ^NS,3
180520,@AmazonHelp I tried logging into my Amazon acct for the 1st time in months and cannot access. Even if I send myself a new PW it doesn't work,account_or_login,account_or_login,1,AUTO,AUTO,1,1.0,access,@158446 I'm sorry for the trouble. Is your account with https://t.co/nUUp5MLhYl or https://t.co/ykTUEmdsQA? ^MG,3
151992,"GG le support d'@120533 : ""Oui oui on vous assure vous serez livré aujourd'hui"". Et 20 min plus tard avoir une notif' ""Votre colis sera livré MARDI"" sur l'app'..... @2600. :/",other_or_unclear,technical_issue,0,ESCALATE,ESCALATE,1,1.0,app,"@150733 Bonjour Jeremie, avez-vous un souci avec une commande en cours ? ^MA",3
93740,iPhone X seems to double costly on Amazon India @115850 @115858 . Check it out👇 https://t.co/LRoOvfZmPJ,other_or_unclear,other_or_unclear,1,ESCALATE,ESCALATE,1,0.0,,"@136321 Prices on our website is offered as per seller's discretion. However, we will consider this as feedback and share it internally to get this checked. ^MD",3
128013,@AmazonHelp Haha..How will You define yourself @115821 **************(confused) #digitalmafia in #DigitalIndia @115851 @127586 @120844 @4871 @144769 @734 @120319 @120033 @1755 @144770 @144771 @4211 @144773 @2517 @144775 @120320 https://t.co/GWRBpeYMAl,other_or_unclear,other_or_unclear,1,ESCALATE,ESCALATE,1,0.0,,"@144768 Apologies for the miscommunication. Kindly respond to the latest correspondence from our team with your insight for further assistance. Please don't provide your order details, we consider it to be personal information. Our page is visible to the public.^GD",3
419900,@2600 bonjour concerne commande #406-2541840-1733118 merci https://t.co/SD6wiJT0yc,other_or_unclear,other_or_unclear,1,ESCALATE,ESCALATE,1,0.0,,"@215106 Bonjour, c'est quoi le souci exactement ? ^AR",3
345686,"@AmazonHelp Woo, very soon.but yesterday no body call. even ur delivery boy.called by me to delivery boy &amp; he denied how you treat CM. its 2 time .",delivery_or_order,delivery_or_order,1,AUTO,AUTO,1,1.0,delivery,@193843 Request you to share your details here: https://t.co/beaaDm0muc and we'll reach out to you. (2/2) ^GK,3
180222,"@115850 never expected a bullying &amp; crooked behaviour from Amazon. I requested a return of defective iPhone SE, no one from Amazon..contd#",delivery_or_order,payment_or_refund,0,AUTO,AUTO,1,0.5,return,@158406 Suggest you to contact the manufacturer and claim the warranty. ^SG(2/2),3
